joueur,equipe,poste,date_naissance,club,goals
Salim Ben Boina,comores,GK,19 July 1991 (aged 34),Istres,0
Ismaël Boura,comores,DF,14 August 2000 (aged 25),Troyes,0
Abdel-Hakim Abdallah,Comores,DF,18 August 1997 (aged 28),Guingamp,0
Kenan Toibibou,Comores,DF,9 December 2004 (aged 21),Bravo,0
Ahmed Soilihi,Comores,DF,1 July 1996 (aged 29),Toulon,0
Iyad Mohamed,Comores,MF,5 March 2001 (aged 24),Casa Pia,0
Faïz Selemani,Comores,FW,14 November 1993 (aged 32),Qatar SC,7
Yannis Kari,Comores,DF,2 November 2000 (aged 25),Fréjus Saint-Raphaël,0
Aboubacar Ali,Comores,FW,2 April 2006 (aged 19),Francs Borains,0
Youssouf M'Changama,Comores,MF,29 August 1990 (aged 35),Al-Batin,13
Rafiki Saïd,Comores,FW,15 March 2000 (aged 25),Standard Liège,7
Kassim M'Dahoma,Comores,DF,26 January 1997 (aged 28),Aubagne,1
Aymeric Ahmed,Comores,FW,8 November 2003 (aged 22),Strasbourg,0
Rémy Vita,Comores,MF,1 April 2001 (aged 24),Tondela,0
Benjaloud Youssouf,Comores,MF,11 February 1994 (aged 31),Sochaux,4
Yannick Pandor,Comores,GK,1 May 2001 (aged 24),Francs Borains,0
Myziane Maolida,Comores,FW,14 February 1999 (aged 26),Al-Kholood,4
Yacine Bourhane,Comores,MF,30 September 1998 (aged 27),Aris Limassol,1
Zaïd Amir,Comores,FW,11 May 2002 (aged 23),Istres,2
El Fardou Ben Nabouhane,Comores,FW,10 June 1989 (aged 36),Zemun,16
Saïd Bakari,Comores,DF,22 September 1994 (aged 31),Sparta Rotterdam,1
Adel Anzimati,Comores,GK,5 November 2001 (aged 24),Ararat Yerevan,0
Idris Mohamed,Comores,DF,25 November 2003 (aged 22),Le Puy,0
Raouf Mroivili,Comores,MF,14 January 1999 (aged 26),Villefranche,0
Rayan Lutin,Comores,MF,16 January 2003 (aged 22),Amiens,0
Zaydou Youssouf,Comores,MF,11 July 1999 (aged 26),Al-Fateh,0
Ismael Diawara,Mali,GK,11 November 1994 (aged 31),Sirius,0
Hamari Traoré,Mali,DF,27 January 1992 (aged 33),Paris FC,3
Amadou Dante,Mali,DF,7 October 2000 (aged 25),Arouca,0
Amadou Haidara,Mali,MF,31 January 1998 (aged 27),RB Leipzig,2
Abdoulaye Diaby,Mali,DF,4 July 2000 (aged 25),Grasshopper,0
Sikou Niakaté,Mali,DF,10 July 1999 (aged 26),Braga,1
Dorgeles Nene,Mali,FW,23 December 2002 (aged 22),Fenerbahçe,9
Mahamadou Doumbia,Mali,MF,15 May 2004 (aged 21),Al-Ittihad,0
El Bilal Touré,Mali,FW,3 October 2001 (aged 24),Beşiktaş,9
Yves Bissouma,Mali,MF,30 August 1996 (aged 29),Tottenham Hotspur,5
Lassana Coulibaly,Mali,MF,10 April 1996 (aged 29),Lecce,1
Mohamed Camara,Mali,MF,6 January 2000 (aged 25),Al-Sadd,3
Fodé Doucouré,Mali,DF,3 February 2001 (aged 24),Le Havre,0
Mamadou Camara,Mali,FW,7 February 2001 (aged 24),Laval,0
Mamadou Fofana,Mali,DF,21 January 1998 (aged 27),New England Revolution,1
Djigui Diarra,Mali,GK,27 February 1995 (aged 30),Young Africans,0
Lassine Sinayoko,Mali,FW,8 December 1999 (aged 26),Auxerre,6
Mamadou Doumbia,Mali,FW,18 February 2006 (aged 19),Watford,1
Kamory Doumbia,Mali,MF,18 February 2003 (aged 22),Brest,14
Mamadou Sangaré,Mali,MF,26 June 2002 (aged 23),Lens,0
Gaoussou Diarra,Mali,FW,21 November 2002 (aged 23),Feyenoord,1
Mamadou Samassa,Mali,GK,16 February 1990 (aged 35),Laval,0
Aliou Dieng,Mali,MF,15 October 1997 (aged 28),Al Ahly,2
Ibrahima Sissoko,Mali,MF,27 October 1997 (aged 28),VfL Bochum,0
Ousmane Camara,Mali,DF,6 March 2003 (aged 22),Angers,0
Woyo Coulibaly,Mali,DF,26 May 1999 (aged 26),Sassuolo,0
Gaoussou Diakité,Mali,FW,26 September 2005 (aged 20),Lausanne-Sport,0
Nathan Gassama,Mali,DF,5 January 2001 (aged 24),Baltika Kaliningrad,0
Yassine Bounou,Maroc,GK,5 April 1991 (aged 34),Al-Hilal,0
Achraf Hakimi,Maroc,DF,4 November 1998 (aged 27),Paris Saint-Germain,11
Noussair Mazraoui,Maroc,DF,14 November 1997 (aged 28),Manchester United,2
Sofyan Amrabat,Maroc,MF,21 August 1996 (aged 29),Real Betis,0
Nayef Aguerd,Maroc,DF,30 March 1996 (aged 29),Marseille,2
Romain Saïss,Maroc,DF,26 March 1990 (aged 35),Al-Sadd,3
Hamza Igamane,Maroc,FW,2 November 2002 (aged 23),Lille,2
Azzedine Ounahi,Maroc,MF,19 April 2000 (aged 25),Girona,9
Soufiane Rahimi,Maroc,FW,2 June 1996 (aged 29),Al-Ain,5
Brahim Díaz,Maroc,FW,3 August 1999 (aged 26),Real Madrid,8
